Trial,Time,% in 1,% in 2,% in 3,% in 4
25,4700.0-4800.0,0.0,0.0,95.0,0.0
25,4800.0-4900.0,0.0,0.0,86.0,0.0
25,4900.0-5000.0,0.0,0.0,100.0,0.0
25,5000.0-5100.0,0.0,0.0,100.0,0.0
25,5100.0-5200.0,0.0,0.0,85.0,0.0
25,5200.0-5300.0,0.0,0.0,20.0,17.0
25,5300.0-5400.0,0.0,0.0,0.0,100.0
25,5400.0-5500.0,0.0,0.0,0.0,91.0
25,5500.0-5600.0,0.0,0.0,0.0,100.0
25,5600.0-5700.0,0.0,0.0,0.0,90.0
25,5700.0-5800.0,0.0,0.0,0.0,89.0
25,5800.0-5900.0,0.0,0.0,0.0,73.0
25,5900.0-6000.0,0.0,0.0,0.0,100.0
26,2500.0-2600.0,0.0,0.0,0.0,100.0
26,2600.0-2700.0,0.0,0.0,0.0,70.0
26,2700.0-2800.0,0.0,0.0,0.0,100.0
26,2800.0-2900.0,0.0,0.0,0.0,100.0
26,2900.0-3000.0,0.0,0.0,0.0,79.0
26,3000.0-3100.0,0.0,0.0,0.0,100.0
26,3100.0-3200.0,0.0,0.0,0.0,82.0
26,3200.0-3300.0,0.0,0.0,0.0,100.0
26,3300.0-3400.0,0.0,0.0,0.0,65.0
26,3400.0-3500.0,0.0,0.0,87.0,0.0
26,3500.0-3600.0,0.0,0.0,100.0,0.0
26,3600.0-3700.0,0.0,0.0,78.0,0.0
26,3700.0-3800.0,0.0,0.0,92.0,0.0
26,3800.0-3900.0,44.0,0.0,0.0,0.0
26,3900.0-4000.0,100.0,0.0,0.0,0.0
26,4000.0-4100.0,100.0,0.0,0.0,0.0
26,4100.0-4200.0,73.0,0.0,0.0,0.0
26,4200.0-4300.0,100.0,0.0,0.0,0.0
26,4300.0-4400.0,100.0,0.0,0.0,0.0
26,4400.0-4500.0,54.0,0.0,0.0,0.0
26,4500.0-4600.0,0.0,0.0,0.0,69.0
26,4600.0-4700.0,0.0,0.0,0.0,82.0
26,4700.0-4800.0,0.0,0.0,0.0,93.0
26,4800.0-4900.0,0.0,0.0,0.0,71.0
26,4900.0-5000.0,0.0,0.0,0.0,100.0
26,5000.0-5100.0,0.0,0.0,0.0,100.0
26,5100.0-5200.0,0.0,0.0,0.0,71.0
26,5200.0-5300.0,0.0,0.0,0.0,88.0
26,5300.0-5400.0,0.0,0.0,19.0,0.0
26,5400.0-5500.0,0.0,0.0,100.0,0.0
26,5500.0-5600.0,0.0,0.0,80.0,0.0
26,5600.0-5700.0,0.0,0.0,96.0,0.0
30,3000.0-3100.0,0.0,0.0,0.0,0.0
30,3100.0-3200.0,82.0,0.0,0.0,0.0
30,3200.0-3300.0,74.0,0.0,0.0,0.0
30,3300.0-3400.0,100.0,0.0,0.0,0.0
30,3400.0-3500.0,71.0,0.0,0.0,0.0
30,3500.0-3600.0,100.0,0.0,0.0,0.0
30,3600.0-3700.0,84.0,0.0,0.0,0.0
30,3700.0-3800.0,77.0,0.0,0.0,0.0
30,3800.0-3900.0,0.0,0.0,58.0,0.0
30,3900.0-4000.0,0.0,0.0,100.0,0.0
30,4000.0-4100.0,0.0,0.0,97.0,0.0
30,4100.0-4200.0,0.0,0.0,82.0,0.0
30,4200.0-4300.0,0.0,0.0,100.0,0.0
30,4300.0-4400.0,0.0,0.0,52.0,0.0
30,4400.0-4500.0,0.0,0.0,100.0,0.0
30,4500.0-4600.0,0.0,0.0,100.0,0.0
30,4600.0-4700.0,0.0,0.0,63.0,0.0
30,4700.0-4800.0,0.0,0.0,100.0,0.0
30,4800.0-4900.0,0.0,0.0,100.0,0.0
30,4900.0-5000.0,0.0,0.0,73.0,0.0
30,5000.0-5100.0,0.0,0.0,100.0,0.0
30,5100.0-5200.0,0.0,0.0,65.0,0.0
30,5200.0-5300.0,27.0,0.0,15.0,0.0
30,5300.0-5400.0,100.0,0.0,0.0,0.0
30,5400.0-5500.0,100.0,0.0,0.0,0.0
30,5500.0-5600.0,74.0,0.0,0.0,0.0
30,5600.0-5700.0,100.0,0.0,0.0,0.0
30,5700.0-5800.0,92.0,0.0,0.0,0.0
30,5800.0-5900.0,90.0,0.0,0.0,0.0
30,5900.0-6000.0,100.0,0.0,0.0,0.0
30,6000.0-6100.0,100.0,0.0,0.0,0.0
30,6100.0-6200.0,100.0,0.0,0.0,0.0
30,6200.0-6300.0,100.0,0.0,0.0,0.0
31,2500.0-2600.0,100.0,0.0,0.0,0.0
31,2600.0-2700.0,83.0,0.0,0.0,0.0
31,2700.0-2800.0,100.0,0.0,0.0,0.0
31,2800.0-2900.0,62.0,0.0,0.0,0.0
31,2900.0-3000.0,98.0,0.0,0.0,0.0
31,3000.0-3100.0,0.0,0.0,52.0,0.0
31,3100.0-3200.0,0.0,0.0,97.0,0.0
31,3200.0-3300.0,0.0,0.0,83.0,0.0
31,3300.0-3400.0,0.0,0.0,41.0,0.0
31,3400.0-3500.0,0.0,96.0,0.0,0.0
31,3500.0-3600.0,0.0,100.0,0.0,0.0
31,3600.0-3700.0,0.0,56.0,0.0,0.0
31,3700.0-3800.0,0.0,0.0,0.0,65.0
31,3800.0-3900.0,0.0,0.0,0.0,49.0
31,3900.0-4000.0,93.0,0.0,0.0,0.0
31,4000.0-4100.0,72.0,0.0,0.0,0.0
31,4100.0-4200.0,100.0,0.0,0.0,0.0
31,4200.0-4300.0,47.0,0.0,0.0,0.0
31,4300.0-4400.0,0.0,0.0,0.0,98.0
31,4400.0-4500.0,0.0,0.0,0.0,66.0
31,4500.0-4600.0,0.0,0.0,0.0,100.0
31,4600.0-4700.0,0.0,0.0,0.0,100.0
31,4700.0-4800.0,0.0,0.0,0.0,52.0
31,4800.0-4900.0,0.0,0.0,0.0,93.0
31,4900.0-5000.0,43.0,0.0,0.0,0.0
31,5000.0-5100.0,73.0,0.0,0.0,0.0
31,5100.0-5200.0,76.0,0.0,0.0,0.0
31,5200.0-5300.0,0.0,0.0,65.0,0.0
31,5300.0-5400.0,0.0,0.0,99.0,0.0
31,5400.0-5500.0,0.0,0.0,79.0,0.0
31,5500.0-5600.0,0.0,0.0,48.0,0.0
31,5600.0-5700.0,0.0,95.0,0.0,0.0
34,2600.0-2700.0,0.0,0.0,0.0,22.0
34,2700.0-2800.0,0.0,0.0,0.0,0.0
34,2800.0-2900.0,49.0,0.0,0.0,0.0
34,2900.0-3000.0,73.0,0.0,0.0,0.0
34,3000.0-3100.0,100.0,0.0,0.0,0.0
34,3100.0-3200.0,87.0,0.0,0.0,0.0
34,3200.0-3300.0,98.0,0.0,0.0,0.0
34,3300.0-3400.0,74.0,0.0,0.0,0.0
34,3400.0-3500.0,100.0,0.0,0.0,0.0
34,3500.0-3600.0,81.0,0.0,0.0,0.0
34,3600.0-3700.0,100.0,0.0,0.0,0.0
34,3700.0-3800.0,76.0,0.0,0.0,0.0
34,3800.0-3900.0,79.0,0.0,0.0,0.0
34,3900.0-4000.0,100.0,0.0,0.0,0.0
34,4000.0-4100.0,93.0,0.0,0.0,0.0
34,4100.0-4200.0,100.0,0.0,0.0,0.0
